ref_name,dis_name,mos,trc,ref_width,ref_height,ref_bits,dis_width,dis_height,dis_bits,codec
Chimera13_1000nit.mp4,Chimera13_1000nit_AVS3_QP36.mp4,4.417379836649311,PQ,3840,2160,10,3840,2160,10,AVS
Chimera13_1000nit.mp4,Chimera13_1000nit_AVS3_QP40.mp4,4.41766528695161,PQ,3840,2160,10,3840,2160,10,AVS
Chimera13_1000nit.mp4,Chimera13_1000nit_AVS3_QP44.mp4,4.130409678312902,PQ,3840,2160,10,3840,2160,10,AVS
Chimera13_1000nit.mp4,Chimera13_1000nit_AVS3_QP48.mp4,3.301573578920562,PQ,3840,2160,10,3840,2160,10,AVS
Chimera13_1000nit.mp4,Chimera13_1000nit_AlphaVC-P_QP1.mp4,4.184670798616786,PQ,3840,2160,10,3840,2160,10,AlphaVC-P
Chimera13_1000nit.mp4,Chimera13_1000nit_AlphaVC-P_QP2.mp4,3.796691086545996,PQ,3840,2160,10,3840,2160,10,AlphaVC-P
Chimera13_1000nit.mp4,Chimera13_1000nit_AlphaVC-P_QP3.mp4,3.338048464727879,PQ,3840,2160,10,3840,2160,10,AlphaVC-P
Chimera13_1000nit.mp4,Chimera13_1000nit_AlphaVC-P_QP4.mp4,2.902284959333556,PQ,3840,2160,10,3840,2160,10,AlphaVC-P
Chimera13_1000nit.mp4,Chimera13_1000nit_AlphaVC-P_QP5.mp4,2.240238049779636,PQ,3840,2160,10,3840,2160,10,AlphaVC-P
Chimera13_1000nit.mp4,Chimera13_1000nit_DCVC-RT_QP13.mp4,2.269467632970553,PQ,3840,2160,10,3840,2160,10,DCVC-RT
Chimera13_1000nit.mp4,Chimera13_1000nit_DCVC-RT_QP25.mp4,2.596925305904952,PQ,3840,2160,10,3840,2160,10,DCVC-RT
Chimera13_1000nit.mp4,Chimera13_1000nit_DCVC-RT_QP50.mp4,4.667651179288252,PQ,3840,2160,10,3840,2160,10,DCVC-RT
Chimera13_1000nit.mp4,Chimera13_1000nit_EEM_QP0.mp4,4.706039825245131,PQ,3840,2160,10,3840,2160,10,EEM
Chimera13_1000nit.mp4,Chimera13_1000nit_EEM_QP1.mp4,3.739602523724349,PQ,3840,2160,10,3840,2160,10,EEM
Chimera13_1000nit.mp4,Chimera13_1000nit_EEM_QP2.mp4,3.99727644139647,PQ,3840,2160,10,3840,2160,10,EEM
Chimera13_1000nit.mp4,Chimera13_1000nit_EEM_QP3.mp4,1.743070126925621,PQ,3840,2160,10,3840,2160,10,EEM
Chimera13_1000nit.mp4,Chimera13_1000nit_NNVC_QP22.mp4,4.810606374406585,PQ,3840,2160,10,3840,2160,10,NNVC
Chimera13_1000nit.mp4,Chimera13_1000nit_NNVC_QP27.mp4,4.70101765067285,PQ,3840,2160,10,3840,2160,10,NNVC
Chimera13_1000nit.mp4,Chimera13_1000nit_NNVC_QP32.mp4,4.425300458465902,PQ,3840,2160,10,3840,2160,10,NNVC
Chimera13_1000nit.mp4,Chimera13_1000nit_NNVC_QP42.mp4,3.341233849748335,PQ,3840,2160,10,3840,2160,10,NNVC
Chimera13_1000nit.mp4,Chimera13_1000nit_QP27_3316.mp4,4.48529105448617,PQ,3840,2160,10,3840,2160,10,LTM
Chimera13_1000nit.mp4,Chimera13_1000nit_QP35_3856.mp4,3.634609528973474,PQ,3840,2160,10,3840,2160,10,LTM
Chimera13_1000nit.mp4,Chimera13_1000nit_QP37_3991.mp4,3.343830583186381,PQ,3840,2160,10,3840,2160,10,LTM
Chimera13_1000nit.mp4,Chimera13_1000nit_QP42_4329.mp4,2.136132541532397,PQ,3840,2160,10,3840,2160,10,LTM
Chimera13_1000nit.mp4,Chimera13_1000nit_VTM_QP35.mp4,4.580578544393781,PQ,3840,2160,10,3840,2160,10,VTM
Chimera13_1000nit.mp4,Chimera13_1000nit_VTM_QP37.mp4,4.132125732211043,PQ,3840,2160,10,3840,2160,10,VTM
Chimera13_1000nit.mp4,Chimera13_1000nit_VTM_QP42.mp4,3.376300732033629,PQ,3840,2160,10,3840,2160,10,VTM
Chimera13_1000nit.mp4,Chimera13_1000nit_VTM_QP47.mp4,2.376583717279069,PQ,3840,2160,10,3840,2160,10,VTM
Chimera4_1000nit.mp4,Chimera4_1000nit_LCEVC_QP31.mp4,4.025243043173302,PQ,3840,2160,10,3840,2160,10,LTM
Chimera4_1000nit.mp4,Chimera4_1000nit_LCEVC_QP33.mp4,4.098663541558443,PQ,3840,2160,10,3840,2160,10,LTM
Chimera4_1000nit.mp4,Chimera4_1000nit_NNVC_QP35.mp4,4.459662952273221,PQ,3840,2160,10,3840,2160,10,NNVC
Chimera4_1000nit.mp4,Chimera4_1000nit_NNVC_QP37.mp4,4.58791017467516,PQ,3840,2160,10,3840,2160,10,NNVC
Chimera4_1000nit.mp4,Chimera4_1000nit_VTM_QP32.mp4,4.749984640790464,PQ,3840,2160,10,3840,2160,10,VTM
Chimera4_1000nit.mp4,Chimera4_1000nit_VTM_QP40.mp4,2.909926191820844,PQ,3840,2160,10,3840,2160,10,VTM
FlyingBirds.mp4,FlyingBirds_AVS3_QP36.mp4,4.149684203906296,PQ,3840,2160,10,3840,2160,10,AVS
FlyingBirds.mp4,FlyingBirds_AVS3_QP40.mp4,3.655261900542227,PQ,3840,2160,10,3840,2160,10,AVS
FlyingBirds.mp4,FlyingBirds_AVS3_QP44.mp4,2.858004791628703,PQ,3840,2160,10,3840,2160,10,AVS
FlyingBirds.mp4,FlyingBirds_AVS3_QP48.mp4,2.305217046368016,PQ,3840,2160,10,3840,2160,10,AVS
FlyingBirds.mp4,FlyingBirds_AlphaVC-P_QP0.mp4,1.668624321253602,PQ,3840,2160,10,3840,2160,10,AlphaVC-P
FlyingBirds.mp4,FlyingBirds_AlphaVC-P_QP2.mp4,1.741719060640339,PQ,3840,2160,10,3840,2160,10,AlphaVC-P
FlyingBirds.mp4,FlyingBirds_AlphaVC-P_QP3.mp4,1.19652957633118,PQ,3840,2160,10,3840,2160,10,AlphaVC-P
FlyingBirds.mp4,FlyingBirds_DCVC-RT_QP25.mp4,2.901214999665513,PQ,3840,2160,10,3840,2160,10,DCVC-RT
FlyingBirds.mp4,FlyingBirds_DCVC-RT_QP38.mp4,3.89253366886738,PQ,3840,2160,10,3840,2160,10,DCVC-RT
FlyingBirds.mp4,FlyingBirds_EEM_QP0.mp4,2.304335156671678,PQ,3840,2160,10,3840,2160,10,EEM
FlyingBirds.mp4,FlyingBirds_EEM_QP1.mp4,1.663115370956349,PQ,3840,2160,10,3840,2160,10,EEM
FlyingBirds.mp4,FlyingBirds_EEM_QP2.mp4,1.406354824820703,PQ,3840,2160,10,3840,2160,10,EEM
FlyingBirds.mp4,FlyingBirds_EEM_QP3.mp4,0.9537378164321813,PQ,3840,2160,10,3840,2160,10,EEM
FlyingBirds.mp4,FlyingBirds_NNVC_QP32.mp4,4.692460197273262,PQ,3840,2160,10,3840,2160,10,NNVC
FlyingBirds.mp4,FlyingBirds_NNVC_QP42.mp4,3.431290251905305,PQ,3840,2160,10,3840,2160,10,NNVC
FlyingBirds.mp4,FlyingBirds_QP32_3653.mp4,4.474778481229302,PQ,3840,2160,10,3840,2160,10,LTM
FlyingBirds.mp4,FlyingBirds_QP35_3856.mp4,3.690748672962605,PQ,3840,2160,10,3840,2160,10,LTM
FlyingBirds.mp4,FlyingBirds_QP37_3991.mp4,3.019196276480079,PQ,3840,2160,10,3840,2160,10,LTM
FlyingBirds.mp4,FlyingBirds_QP42_4329.mp4,1.958138753660372,PQ,3840,2160,10,3840,2160,10,LTM
FlyingBirds.mp4,FlyingBirds_VTM_QP32.mp4,4.534493718950071,PQ,3840,2160,10,3840,2160,10,VTM
FlyingBirds.mp4,FlyingBirds_VTM_QP35.mp4,4.298351819704824,PQ,3840,2160,10,3840,2160,10,VTM
FlyingBirds.mp4,FlyingBirds_VTM_QP37.mp4,3.568186489650468,PQ,3840,2160,10,3840,2160,10,VTM
FlyingBirds.mp4,FlyingBirds_VTM_QP42.mp4,3.036217311106487,PQ,3840,2160,10,3840,2160,10,VTM
Smithy1_1000nit.mp4,Smithy1_1000nit_LCEVC_QP27.mp4,4.768189493142897,PQ,3840,2160,10,3840,2160,10,LTM
Smithy1_1000nit.mp4,Smithy1_1000nit_NNVC_QP37.mp4,4.446911480142594,PQ,3840,2160,10,3840,2160,10,NNVC
Smithy1_1000nit.mp4,Smithy1_1000nit_VTM_QP27.mp4,4.891215935137337,PQ,3840,2160,10,3840,2160,10,VTM
Smithy1_1000nit.mp4,Smithy1_1000nit_VTM_QP40.mp4,4.491621448468125,PQ,3840,2160,10,3840,2160,10,VTM
Sparks2_1000nit.mp4,Sparks2_1000nit_LCEVC_QP25.mp4,4.458336901984568,PQ,3840,2160,10,3840,2160,10,LTM
Sparks2_1000nit.mp4,Sparks2_1000nit_NNVC_QP35.mp4,4.458241345549919,PQ,3840,2160,10,3840,2160,10,NNVC
Sparks2_1000nit.mp4,Sparks2_1000nit_NNVC_QP37.mp4,3.827617500183569,PQ,3840,2160,10,3840,2160,10,NNVC
Sparks2_1000nit.mp4,Sparks2_1000nit_VTM_QP22.mp4,4.790519954850471,PQ,3840,2160,10,3840,2160,10,VTM
Sparks2_1000nit.mp4,Sparks2_1000nit_VTM_QP35.mp4,4.190076974994088,PQ,3840,2160,10,3840,2160,10,VTM
